participant_id,category_folder,eval_category,artifact_group,condition,filename,relative_path,mos_score_1_to_5,optional_comment
,04_LowMood_MSPFear,Low mood (MSP Fear),gen,Qwen3-TTS-NoEmotion,Qwen3TTS_gen.wav,04_LowMood_MSPFear/gen/Qwen3TTS_gen.wav,,
,04_LowMood_MSPFear,Low mood (MSP Fear),gen,FishAudio2-NoEmotion,FishAudio2_gen.wav,04_LowMood_MSPFear/gen/FishAudio2_gen.wav,,
,04_LowMood_MSPFear,Low mood (MSP Fear),gen,Random Prompt + IndexTTS2,Random_gen.wav,04_LowMood_MSPFear/gen/Random_gen.wav,,
,04_LowMood_MSPFear,Low mood (MSP Fear),gen,LLM-VAD Nearest Retrieval + IndexTTS2,LLM_VAD_gen.wav,04_LowMood_MSPFear/gen/LLM_VAD_gen.wav,,
,04_LowMood_MSPFear,Low mood (MSP Fear),gen,VAD-Transformer Retrieval + IndexTTS2,VADPT_LLMVAD_gen.wav,04_LowMood_MSPFear/gen/VADPT_LLMVAD_gen.wav,,
,04_LowMood_MSPFear,Low mood (MSP Fear),gen,Text-Audio FFN Retrieval + IndexTTS2,TextAudioFFN_gen.wav,04_LowMood_MSPFear/gen/TextAudioFFN_gen.wav,,
,04_LowMood_MSPFear,Low mood (MSP Fear),gen,Text-Prompt Transformer Retrieval + IndexTTS2,TextPromptTF_gen.wav,04_LowMood_MSPFear/gen/TextPromptTF_gen.wav,,
,04_LowMood_MSPFear,Low mood (MSP Fear),gen,VAD-Transformer Direct + IndexTTS2,VADPT_LLMVAD_Direct_gen.wav,04_LowMood_MSPFear/gen/VADPT_LLMVAD_Direct_gen.wav,,
,04_LowMood_MSPFear,Low mood (MSP Fear),gen,Text-Prompt Transformer Direct + IndexTTS2,TextPromptTF_Direct_gen.wav,04_LowMood_MSPFear/gen/TextPromptTF_Direct_gen.wav,,
,04_LowMood_MSPFear,Low mood (MSP Fear),gen,GT Emotion Prompt + IndexTTS2 upper bound,IndexTTS2_GTReference_gen.wav,04_LowMood_MSPFear/gen/IndexTTS2_GTReference_gen.wav,,
,05_Neutral,Neutral,ret,LLM-VAD Nearest Retrieval,LLM_VAD_ret.wav,05_Neutral/ret/LLM_VAD_ret.wav,,
,05_Neutral,Neutral,ret,VAD-Transformer Retrieval,VADPT_LLMVAD_ret.wav,05_Neutral/ret/VADPT_LLMVAD_ret.wav,,
,05_Neutral,Neutral,ret,Text-Audio FFN Retrieval,TextAudioFFN_ret.wav,05_Neutral/ret/TextAudioFFN_ret.wav,,
,05_Neutral,Neutral,ret,Text-Prompt Transformer Retrieval,TextPromptTF_ret.wav,05_Neutral/ret/TextPromptTF_ret.wav,,
,05_Neutral,Neutral,ret,Random Prompt lower bound,Random_ret.wav,05_Neutral/ret/Random_ret.wav,,
,05_Neutral,Neutral,gen,IndexTTS2-NoEmotion,IndexTTS2_SpeakerOnly_gen.wav,05_Neutral/gen/IndexTTS2_SpeakerOnly_gen.wav,,
,05_Neutral,Neutral,gen,Qwen3-TTS-NoEmotion,Qwen3TTS_gen.wav,05_Neutral/gen/Qwen3TTS_gen.wav,,
,05_Neutral,Neutral,gen,FishAudio2-NoEmotion,FishAudio2_gen.wav,05_Neutral/gen/FishAudio2_gen.wav,,
,05_Neutral,Neutral,gen,Random Prompt + IndexTTS2,Random_gen.wav,05_Neutral/gen/Random_gen.wav,,
,05_Neutral,Neutral,gen,LLM-VAD Nearest Retrieval + IndexTTS2,LLM_VAD_gen.wav,05_Neutral/gen/LLM_VAD_gen.wav,,
,05_Neutral,Neutral,gen,VAD-Transformer Retrieval + IndexTTS2,VADPT_LLMVAD_gen.wav,05_Neutral/gen/VADPT_LLMVAD_gen.wav,,
,05_Neutral,Neutral,gen,Text-Audio FFN Retrieval + IndexTTS2,TextAudioFFN_gen.wav,05_Neutral/gen/TextAudioFFN_gen.wav,,
,05_Neutral,Neutral,gen,Text-Prompt Transformer Retrieval + IndexTTS2,TextPromptTF_gen.wav,05_Neutral/gen/TextPromptTF_gen.wav,,
,05_Neutral,Neutral,gen,VAD-Transformer Direct + IndexTTS2,VADPT_LLMVAD_Direct_gen.wav,05_Neutral/gen/VADPT_LLMVAD_Direct_gen.wav,,
,05_Neutral,Neutral,gen,Text-Prompt Transformer Direct + IndexTTS2,TextPromptTF_Direct_gen.wav,05_Neutral/gen/TextPromptTF_Direct_gen.wav,,
,05_Neutral,Neutral,gen,GT Emotion Prompt + IndexTTS2 upper bound,IndexTTS2_GTReference_gen.wav,05_Neutral/gen/IndexTTS2_GTReference_gen.wav,,
